İlan no,Son Güncelleme Tarihi,İlan Durumu,Konut Şekli,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Krediye Uygunluk,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Tapu Durumu,Aidat,Takas,Semt,Mahalle,Fiyat
2545-5602,20 Gün Önce,Satılık,Daire,4 + 1,200 m2,12. Kat,2 Yaşında,Merkezi (Pay Ölçer),14 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,,Hayır,Pursaklar,Mimar Sinan,730.000 TL
118304-141,7 Gün Önce,Satılık,Daire,4 + 1,200 m2,2. Kat,1 Yaşında,Merkezi,15 Katlı,Uygun,Eşyalı,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Evet,Keçiören,Etlik,565.000 TL
40243-8154,16 Gün Önce,Satılık,Daire,3 + 1,140 m2,9. Kat,Sıfır Bina,Kombi,11 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,,,Evet,Mamak,Şirintepe,450.000 TL
121676-17,18 Gün Önce,Satılık,Villa,6 + 1,350 m2,,10 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,,,Evet,Yenimahalle,Ata,1.350.000 TL
122781-13,5 Gün Önce,Satılık,Daire,3 + 1,155 m2,En Üst Kat,3 Yaşında,Kombi,9 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,100 TL,Evet,Etimesgut,Ayyıldız,650.000 TL
2640-2292,18 Gün Önce,Satılık,Daire,4 + 1,185 m2,20. Kat,Sıfır Bina,Merkezi (Pay Ölçer),29 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,,265 TL,Hayır,Etimesgut,Eryaman,1.000.000 TL
80318-292,Bugün,Satılık,Villa,5 + 2,650 m2,,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,4,Betonarme,Yapım Aşamasında,Boş,,,,Çankaya,Mutlukent,2.800.000 TL
42882-906,4 Gün Önce,Satılık,Daire,3 + 1,110 m2,4. Kat,20 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat İrtifakı,,Evet,Polatlı,Yeni,98.000 TL
91270-624,12 Gün Önce,Satılık,Daire,4 + 1,135 m2,Giriş Katı,3 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,,30 TL,,Mamak,Altıağaç,148.000 TL
120171-232,10 Gün Önce,Satılık,Daire,3 + 1,120 m2,3. Kat,20 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,20 TL,Evet,Sincan,Mareşal Çakmak,243.000 TL
64542-12890,15 Gün Önce,Satılık,Daire,4 + 1,175 m2,3. Kat,Sıfır Bina,Kombi,5 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat İrtifakı,40 TL,Evet,Yenimahalle,Yukarı Yahyalar,549.000 TL
26004-15423,20 Gün Önce,Satılık,Daire,3 + 1,165 m2,7. Kat,Sıfır Bina,Merkezi (Pay Ölçer),26 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,200 TL,Hayır,Keçiören,Ovacık,650.000 TL
111267-830,13 Gün Önce,Satılık,Daire,4 + 1,180 m2,4. Kat,Sıfır Bina,Kombi,7 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Evet,Etimesgut,Bağlıca,959.000 TL
89899-862,10 Gün Önce,Satılık,Daire,3 + 1,125 m2,5. Kat,10 Yaşında,Kombi,9 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,200 TL,Hayır,Mamak,Ege,550.000 TL
85799-1883,20 Gün Önce,Satılık,Daire,3 + 1,135 m2,1. Kat,1 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Ev Sahibi Oturuyor,Kat Mülkiyeti,,Hayır,Keçiören,Karakaya,294.000 TL
118808-360,12 Gün Önce,Satılık,Daire,4 + 1,225 m2,1. Kat,Sıfır Bina,Merkezi (Pay Ölçer),24 Katlı,Uygun,Eşyalı Değil,3,Betonarme,Sıfır,Boş,Kat Mülkiyeti,350 TL,Hayır,Keçiören,Ovacık,1.100.000 TL
101486-1135,12 Gün Önce,Satılık,Daire,4 + 1,175 m2,3. Kat,3 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,50 TL,Evet,Keçiören,Hisar,369.000 TL
4180-8209,23 Gün Önce,Satılık,Daire,3 + 1,135 m2,3. Kat,25 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,30 TL,Evet,Çankaya,Öveçler,449.000 TL
