İlan no,Son Güncelleme Tarihi,İlan Durumu,Konut Şekli,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Krediye Uygunluk,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Tapu Durumu,Aidat,Takas,Cephe,Kira Getirisi,Yakıt Tipi,Yetkili Ofis,Semt,Mahalle,Fiyat
56352-1512,Bugün,Satılık,Daire,3 + 1,"
                          120 m2
                        ",2. Kat,30 Yaşında,Kombi,2 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,20 TL,Hayır,Güney,1.000 TL,Doğalgaz,,Altındağ,Güneşevler,360.000 TL
46555-7844,Dün,Satılık,Daire,3 + 1,"
                          130 m2
                        ",2. Kat,7 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,50 TL,Hayır,"Kuzey, Güney, Doğu",1.500 TL,Doğalgaz,Evet,Etimesgut,Topçu,450.000 TL
110843-605,Dün,Satılık,Daire,2 + 1,"
                          100 m2
                        ",1. Kat,31 Yaşında,Kombi,7 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,,40 TL,Hayır,Batı,1.700 TL,Doğalgaz,Evet,Yenimahalle,Demetgül,204.000 TL
116060-266,Dün,Satılık,Daire,2 + 1,"
                          95 m2
                        ",2. Kat,6 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,20 TL,Evet,"Kuzey, Güney, Doğu",1.000 TL,Doğalgaz,Evet,Etimesgut,Şeker,312.000 TL
120352-207,Bugün,Satılık,Daire,4 + 2,"
                          400 m2
                        ",6. Kat,16 Yaşında,Kombi,6 Katlı,Uygun,Eşyalı Değil,3,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,300 TL,Hayır,"Güney, Batı",3.000 TL,Doğalgaz,Evet,Çankaya,Kırkkonaklar,1.150.000 TL
1124-5209,Bugün,Satılık,Daire,4 + 1,"
                          200 m2
                        ",3. Kat,20 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,"Güney, Batı",4.000 TL,Doğalgaz,Evet,Çankaya,Yukarı Bahçelievler,1.650.000 TL
45607-1670,Dün,Satılık,Daire,2 + 1,"
                          95 m2
                        ",5. Kat,9 Yaşında,Merkezi,12 Katlı,Uygun,Eşyalı,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,130 TL,Hayır,"Kuzey, Batı",1.200 TL,Doğalgaz,Evet,Etimesgut,Turkuaz,135.000 TL
6453-2554,Dün,Satılık,Daire,2 + 1,"
                          150 m2
                        ",4. Kat,Sıfır Bina,Kombi,5 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,50 TL,Hayır,"Güney, Doğu",3.000 TL,Doğalgaz,Evet,Çankaya,Kavaklıdere,860.000 TL
13712-2026,Dün,Satılık,Daire,3 + 1,"
                          100 m2
                        ",1. Kat,50 Yaşında,Merkezi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,500 TL,Hayır,"Güney, Batı",2.000 TL,Doğalgaz,Evet,Çankaya,Güzeltepe,820.000 TL
21685-2018,Dün,Satılık,Daire,3 + 1,"
                          120 m2
                        ",5. Kat,18 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,120 TL,Hayır,"Güney, Doğu",1.500 TL,Doğalgaz,Evet,Etimesgut,Güzelkent,385.000 TL
27590-3967,Dün,Satılık,Daire,3 + 1,"
                          145 m2
                        ",1. Kat,12 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,70 TL,Hayır,"Güney, Batı",1.700 TL,Doğalgaz,Evet,Çankaya,Karapınar,515.000 TL
78275-991,Dün,Satılık,Müstakil Ev,4 + 1,"
                          250 m2
                        ",,30 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,,Evet,"Kuzey, Güney, Doğu, Batı",3.000 TL,Doğalgaz,,Yenimahalle,İlkyerleşim,985.000 TL
94790-691,Dün,Satılık,Daire,4 + 2,"
                          465 m2
                        ",Giriş Katı,18 Yaşında,Merkezi,12 Katlı,Uygun,Eşyalı Değil,4,Betonarme,İkinci El,Belirtilmemiş,Kat Mülkiyeti,1.435 TL,Hayır,"Güney, Doğu, Batı",12 TL,Doğalgaz,Evet,Çankaya,Yukarı Dikmen,4.800.000 TL
123854-24,Bugün,Satılık,Daire,4 + 1,"
                          262 m2
                        ",Yüksek Giriş,Sıfır Bina,Merkezi,9 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat İrtifakı,,Evet,"Kuzey, Güney, Doğu, Batı",,Doğalgaz,Evet,Etimesgut,Bağlıca,1.249.000 TL
2252-565,Bugün,Satılık,Villa,10 + 2,"
                          680 m2
                        ",,17 Yaşında,Kombi,2 Katlı,Uygun,Eşyalı Değil,7,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,"Güney, Doğu, Batı",30.000 TL,Doğalgaz,Evet,Gölbaşı,İncek,10.250.000 TL
1754-1685,Bugün,Satılık,Daire,4 + 1,"
                          185 m2
                        ",2. Kat,5 Yaşında,Merkezi (Pay Ölçer),12 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Kiracı Oturuyor,,150 TL,Hayır,,,Doğalgaz,Evet,Etimesgut,Bağlıca,885.000 TL
25058-636,Dün,Satılık,Daire,3 + 1,"
                          140 m2
                        ",2. Kat,15 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,,1.800 TL,Doğalgaz,Evet,Çankaya,Keklik Pınarı,480.000 TL
2430-8925,Dün,Satılık,Daire,4 + 150,"
                          275 m2
                        ",3. Kat,9 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,3,Betonarme,İkinci El,Boş,Kat Mülkiyeti,150 TL,Hayır,"Güney, Doğu, Batı",4.500 TL,Doğalgaz,Evet,Çankaya,Birlik,1.195.000 TL
64802-4538,Dün,Satılık,Villa,5 + 2,"
                          1.250 m2
                        ",,15 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,6,Betonarme,İkinci El,Boş,,,Hayır,Güney,,Doğalgaz,,Çankaya,Üniversiteler,21.000.000 TL
56708-885,Dün,Satılık,Daire,1 + 1,"
                          68 m2
                        ",7. Kat,3 Yaşında,Merkezi (Pay Ölçer),24 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,250 TL,Hayır,"Kuzey, Güney, Doğu, Batı",,Doğalgaz,Evet,Gölbaşı,Kızılcaşar,620.000 TL
4744-10341,Dün,Satılık,Daire,3 + 1,"
                          165 m2
                        ",Yüksek Giriş,20 Yaşında,Merkezi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,,Evet,Güney,,Doğalgaz,Evet,Çankaya,Ümit,850.000 TL
10249-3277,Dün,Satılık,Daire,2 + 1,"
                          110 m2
                        ",Kot 1,20 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,50 TL,Evet,"Güney, Doğu, Batı",1.800 TL,Doğalgaz,Evet,Çankaya,Öveçler,155.000 TL
123492-7,Dün,Satılık,Villa,4 + 1,"
                          371 m2
                        ",,Sıfır Bina,Kombi,2 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Evet,"Kuzey, Güney, Doğu, Batı",10.000 TL,Doğalgaz,Evet,Çankaya,Beytepe,2.199.000 TL
44716-7021,Bugün,Satılık,Daire,3 + 1,"
                          150 m2
                        ",14. Kat,Sıfır Bina,Kombi,14 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,,,Hayır,Güney,,Doğalgaz,Evet,Mamak,Akşemsettin,550.000 TL
3493-26434,Bugün,Satılık,Daire,3 + 1,"
                          125 m2
                        ",2. Kat,25 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,50 TL,Hayır,Güney,2.000 TL,Doğalgaz,Evet,Çankaya,Harbiye,389.000 TL
3204-717,Dün,Satılık,Villa,4 + 2,"
                          300 m2
                        ",,10 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,3,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,10 TL,Hayır,"Kuzey, Doğu, Batı",5.000 TL,Doğalgaz,Evet,Çankaya,Prof. Dr. Ahmet Taner Kışlalı,1.750.000 TL
14072-11591,Bugün,Satılık,Daire,3 + 1,"
                          130 m2
                        ",1. Kat,26 Yaşında,Merkezi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,300 TL,Evet,Doğu,2.250 TL,Doğalgaz,Evet,Çankaya,İlkadım,645.000 TL
12890-5039,Bugün,Satılık,Daire,2 + 1,"
                          90 m2
                        ",Kot 1,8 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,25 TL,Hayır,"Güney, Batı",800 TL,Doğalgaz,,Etimesgut,Piyade,159.000 TL
121699-184,Bugün,Satılık,Daire,3 + 1,"
                          135 m2
                        ",2. Kat,9 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,,Evet,"Kuzey, Güney, Doğu, Batı",,Doğalgaz,Evet,Keçiören,Ayvalı,339.000 TL
3483-3867,Bugün,Satılık,Daire,3 + 1,"
                          125 m2
                        ",Yüksek Giriş,22 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,35 TL,Evet,"Güney, Doğu",2.250 TL,Doğalgaz,Evet,Çankaya,Harbiye,469.000 TL
16354-21148,Bugün,Satılık,Daire,3 + 1,"
                          170 m2
                        ",15. Kat,4 Yaşında,Merkezi (Pay Ölçer),16 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,,Evet,"Kuzey, Güney, Doğu, Batı",,Doğalgaz,Evet,Yenimahalle,Pamuklar,675.000 TL
91527-9453,Bugün,Satılık,Daire,3 + 1,"
                          120 m2
                        ",2. Kat,25 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,40 TL,Hayır,"Güney, Batı",1.500 TL,Doğalgaz,Evet,Çankaya,İlkadım,325.000 TL
692546-1320,Bugün,Satılık,Daire,3 + 1,"
                          115 m2
                        ",3. Kat,16 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,,,Hayır,"Güney, Doğu",,Doğalgaz,Evet,Mamak,General Zeki Doğan,265.000 TL
16761-28733,Bugün,Satılık,Daire,3 + 1,"
                          125 m2
                        ",3. Kat,22 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,35 TL,Evet,"Güney, Doğu",2.250 TL,Doğalgaz,Evet,Çankaya,Naci Çakır,530.000 TL
17811-7286,Bugün,Satılık,Daire,3 + 1,"
                          135 m2
                        ",1. Kat,23 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,40 TL,Hayır,"Kuzey, Güney, Doğu",1.500 TL,Doğalgaz,Evet,Çankaya,Huzur,450.000 TL
31522-12668,Bugün,Satılık,Daire,3 + 1,"
                          110 m2
                        ",Giriş Katı,30 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,50 TL,Evet,"Güney, Doğu",1.000 TL,Doğalgaz,Evet,Keçiören,Aşağı Eğlence,285.000 TL
114417-70,Dün,Satılık,Daire,5 + 1,"
                          270 m2
                        ",Teras Katı,15 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,,Hayır,"Kuzey, Doğu",,Doğalgaz,Evet,Etimesgut,Elvan,348.000 TL
10144-6252,Dün,Satılık,Daire,4 + 1,"
                          210 m2
                        ",2. Kat,16 Yaşında,Merkezi,8 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,1.000 TL,Hayır,Doğu,,Doğalgaz,Evet,Çankaya,Koru,1.765.000 TL
102781-418,Bugün,Satılık,Daire,3 + 1,"
                          120 m2
                        ",2. Kat,25 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,40 TL,Evet,"Güney, Doğu, Batı",900 TL,Doğalgaz,Evet,Sincan,Mareşal Çakmak,169.500 TL
41980-1430,Dün,Satılık,Daire,3 + 1,"
                          155 m2
                        ",1. Kat,8 Yaşında,Kombi,10 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat İrtifakı,150 TL,Hayır,"Güney, Batı",2.000 TL,Doğalgaz,Evet,Yenimahalle,Turgut Özal,540.000 TL
30001-6756,Dün,Satılık,Villa,4 + 1,"
                          250 m2
                        ",,13 Yaşında,Kombi,2 Katlı,Uygun,Eşyalı Değil,3,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,750 TL,Hayır,Güney,9.000 TL,Doğalgaz,Evet,Gölbaşı,Ballıkpınar,2.499.000 TL
6792-3516,Bugün,Satılık,Daire,3 + 1,"
                          155 m2
                        ",3. Kat,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,100 TL,Hayır,,4.500 TL,Doğalgaz,Evet,Çankaya,Bahçelievler,1.275.000 TL
26775-2028,Bugün,Satılık,Daire,4 + 1,"
                          145 m2
                        ",Kot 1,20 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,30 TL,Hayır,"Kuzey, Doğu, Batı",1.400 TL,Doğalgaz,,Çankaya,Naci Çakır,229.000 TL
41304-2500,Bugün,Satılık,Daire,3 + 1,"
                          115 m2
                        ",1. Kat,30 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,50 TL,Hayır,,,Doğalgaz,Evet,Çankaya,Emek,525.000 TL
42663-3428,Bugün,Satılık,Daire,3 + 1,"
                          120 m2
                        ",3. Kat,Sıfır Bina,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,150 TL,Hayır,"Güney, Doğu",3.000 TL,Doğalgaz,,Çankaya,Aziziye,880.000 TL
120611-93,Dün,Satılık,Daire,3 + 1,"
                          145 m2
                        ",3. Kat,Sıfır Bina,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,30 TL,Hayır,"Kuzey, Doğu, Batı",1.500 TL,Doğalgaz,Evet,Sincan,Menderes,455.000 TL
72190-1203,Bugün,Satılık,Daire,4 + 1,"
                          160 m2
                        ",2. Kat,10 Yaşında,Kombi,6 Katlı,Uygun,Eşyalı Değil,1,Betonarme,,Boş,Kat Mülkiyeti,50 TL,,Batı,1.700 TL,Doğalgaz,Evet,Çankaya,Aşıkpaşa,545.000 TL
64542-12908,Bugün,Satılık,Daire,3 + 1,"
                          145 m2
                        ",2. Kat,Sıfır Bina,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat İrtifakı,50 TL,Hayır,"Güney, Doğu",1.300 TL,Doğalgaz,Evet,Keçiören,Yükseltepe,419.000 TL
124737-39,Dün,Satılık,Daire,4 + 1,"
                          170 m2
                        ",2. Kat,3 Yaşında,Merkezi,10 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,80 TL,Evet,"Kuzey, Batı",2.000 TL,Doğalgaz,Evet,Sincan,Menderes,615.000 TL
4901-2435,Dün,Satılık,Daire,6 + 2,"
                          320 m2
                        ",3. Kat,11 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Belirtilmemiş,Kat Mülkiyeti,50 TL,Evet,"Kuzey, Güney, Doğu, Batı",2.000 TL,Doğalgaz,Evet,Keçiören,Ayvalı,429.000 TL
4180-8380,Dün,Satılık,Daire,3 + 1,"
                          150 m2
                        ",4. Kat,13 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,50 TL,Evet,"Güney, Doğu",3.000 TL,Doğalgaz,Evet,Çankaya,Şehit Cengiz Karaca,720.000 TL
67191-2799,Dün,Satılık,Daire,4 + 1,"
                          200 m2
                        ",Yüksek Giriş,9 Yaşında,Merkezi (Pay Ölçer),16 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,350 TL,Hayır,"Güney, Doğu, Batı",3.500 TL,Doğalgaz,Evet,Etimesgut,Eryaman,849.000 TL
0-37600172,Dün,Satılık,Daire,4 + 1,"
                          135 m2
                        ",Ara Kat,30 Yaşında,Kombi,8 Katlı,Bilinmiyor,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,50 TL,Hayır,"Doğu, Batı",1.350 TL,Doğalgaz,,Yenimahalle,Demetevler,500.000 TL
0-37598456,Dün,Satılık,Daire,2 + 1,"
                          110 m2
                        ",3. Kat,25 Yaşında,Merkezi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,280 TL,Evet,Batı,1.750 TL,Doğalgaz,,Çankaya,Aşağı Öveçler,339.000 TL
121320-174,Dün,Satılık,Daire,3 + 2,"
                          205 m2
                        ",Villa Katı,32 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,,Evet,"Güney, Doğu, Batı",3.500 TL,Doğalgaz,Evet,Yenimahalle,Uğur Mumcu,845.000 TL
1181-12299,Dün,Satılık,Daire,3 + 1,"
                          135 m2
                        ",1. Kat,15 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,100 TL,Evet,"Kuzey, Batı",1.600 TL,Doğalgaz,Evet,Çankaya,Karapınar,492.000 TL
123092-79,Dün,Satılık,Daire,6 + 2,"
                          420 m2
                        ",14. Kat,Sıfır Bina,Kombi,14 Katlı,Uygun,Eşyalı Değil,4,Betonarme,Sıfır,Boş,Kat Mülkiyeti,125 TL,Hayır,"Doğu, Batı",4.500 TL,Doğalgaz,Evet,Mamak,Ege,1.400.000 TL
53138-8632,Dün,Satılık,Daire,3 + 1,"
                          125 m2
                        ",1. Kat,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,1 TL,Evet,"Kuzey, Güney, Doğu, Batı",1 TL,Doğalgaz,Evet,Mamak,Mutlu,310.000 TL
6666-2582,Dün,Satılık,Daire,1 + 1,"
                          60 m2
                        ",7. Kat,15 Yaşında,Merkezi (Pay Ölçer),12 Katlı,Uygun,Eşyalı,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,190 TL,Hayır,"Kuzey, Batı",1.900 TL,Doğalgaz,Evet,Etimesgut,Şehit Osman Avcı,345.000 TL
65739-16867,Dün,Satılık,Daire,2 + 1,"
                          130 m2
                        ",3. Kat,5 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,"Güney, Batı",1.200 TL,Doğalgaz,Evet,Altındağ,Güneşevler,395.000 TL
124573-2,Dün,Satılık,Daire,2 + 1,"
                          130 m2
                        ",4. Kat,5 Yaşında,Jeotermal Isıtma,13 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,"Güney, Batı",,Doğalgaz,Evet,Çankaya,İlkbahar,1.045.000 TL
0-37597919,Dün,Satılık,Daire,4 + 1,"
                          185 m2
                        ",1. Kat,11 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,,Boş,,40 TL,Hayır,"Kuzey, Güney",2.000 TL,Doğalgaz,,Çankaya,Devlet,647.000 TL
122935-95,Dün,Satılık,Daire,3 + 1,"
                          150 m2
                        ",5. Kat,Sıfır Bina,Kombi,14 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat İrtifakı,,Evet,"Güney, Batı",,Doğalgaz,Evet,Mamak,Yeşilbayır,429.999 TL
41662-1137,Dün,Satılık,Daire,4 + 1,"
                          180 m2
                        ",13. Kat,15 Yaşında,Merkezi (Pay Ölçer),14 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,430 TL,Hayır,"Güney, Doğu, Batı",8.000 TL,Doğalgaz,Evet,Çankaya,Akpınar,1.250.000 TL
58364-3538,Dün,Satılık,Daire,3 + 1,"
                          130 m2
                        ",4. Kat,15 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Evet,"Güney, Batı",3.000 TL,Doğalgaz,Evet,Çankaya,Tınaztepe,650.000 TL
1350-3565,Dün,Satılık,Daire,3 + 1,"
                          140 m2
                        ",1. Kat,10 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,,,Doğalgaz,Evet,Pursaklar,Fatih,380.000 TL
121003-849,Dün,Satılık,Daire,3 + 1,"
                          125 m2
                        ",2. Kat,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,50 TL,Evet,"Güney, Doğu",1.500 TL,Doğalgaz,Evet,Keçiören,Atapark,350.000 TL
26614-1285,Dün,Satılık,Daire,4 + 1,"
                          155 m2
                        ",1. Kat,20 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,50 TL,Hayır,"Kuzey, Güney, Doğu",2.500 TL,Doğalgaz,Evet,Çankaya,Oğuzlar,645.000 TL
39672-9210,Dün,Satılık,Daire,3 + 1,"
                          120 m2
                        ",1. Kat,25 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,Batı,,Doğalgaz,Evet,Keçiören,Ayvalı,595.000 TL
66647-732,Dün,Satılık,Daire,3 + 1,"
                          125 m2
                        ",4. Kat,10 Yaşında,Kombi,9 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,,,Doğalgaz,Evet,Pursaklar,Mimar Sinan,455.000 TL
8859-3117,Dün,Satılık,Daire,4 + 1,"
                          220 m2
                        ",3. Kat,13 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,,Hayır,"Güney, Batı",,Doğalgaz,Evet,Keçiören,Yayla,365.000 TL
2450-1255,Bugün,Satılık,Daire,3 + 1,"
                          120 m2
                        ",8. Kat,30 Yaşında,Merkezi,12 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,,500 TL,Hayır,,,Doğalgaz,,Çankaya,İşçi Blokları,775.000 TL
2263-1164,Bugün,Satılık,Daire,3 + 1,"
                          145 m2
                        ",Kot 1,18 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,30 TL,Hayır,"Güney, Doğu",1.500 TL,Doğalgaz,Evet,Çankaya,İlkadım,425.000 TL
692546-1335,Bugün,Satılık,Daire,3 + 1,"
                          130 m2
                        ",3. Kat,13 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,,,Hayır,Güney,,Doğalgaz,Evet,Mamak,Peyami Safa,295.000 TL
8316-2033,Bugün,Satılık,Daire,5 + 1,"
                          233 m2
                        ",17. Kat,Sıfır Bina,Merkezi (Pay Ölçer),24 Katlı,Uygun,Eşyalı Değil,5,Betonarme,İkinci El,Kat İrtifakı,Hayır,,"Güney, Doğu",ATASAYANLAR 5,,Evet,,Çankaya,Dodurga,1.600.000 TL
64542-12917,Bugün,Satılık,Daire,4 + 1,"
                          175 m2
                        ",3. Kat,Sıfır Bina,Kombi,5 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat İrtifakı,50 TL,Evet,"Güney, Doğu",1.500 TL,Doğalgaz,Evet,Keçiören,Şehit Kubilay,525.000 TL
10557-2807,Bugün,Satılık,Daire,3 + 1,"
                          140 m2
                        ",3. Kat,13 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,,İkinci El,Kiracı Oturuyor,Kat İrtifakı,165 TL,Hayır,"Güney, Batı",,Doğalgaz,,Çankaya,Karapınar,663.000 TL
16407-8764,Bugün,Satılık,Daire,3 + 1,"
                          135 m2
                        ",2. Kat,7 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,30 TL,Hayır,"Güney, Batı",1.200 TL,Doğalgaz,Evet,Etimesgut,Topçu,435.000 TL
119586-720,Bugün,Satılık,Daire,3 + 1,"
                          140 m2
                        ",Ara Kat,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,"Kuzey, Güney, Doğu, Batı",,Doğalgaz,Evet,Sincan,Mustafa Kemal,449.000 TL
124438-57,Bugün,Satılık,Daire,3 + 1,"
                          120 m2
                        ",Kot 1,14 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,20 TL,Evet,"Güney, Doğu, Batı",950 TL,Doğalgaz,Evet,Mamak,Peyami Safa,160.000 TL
105502-1187,Bugün,Satılık,Daire,3 + 1,"
                          100 m2
                        ",Kot 1,15 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,35 TL,Hayır,Doğu,850 TL,Doğalgaz,Evet,Mamak,Gülveren,175.000 TL
