İlan no,Son Güncelleme Tarihi,İlan Durumu,Konut Şekli,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Krediye Uygunluk,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Tapu Durumu,Aidat,Takas,Cephe,Kira Getirisi,Yakıt Tipi,Yetkili Ofis,Semt,Mahalle,Fiyat
5042-3057,Bugün,Satılık,Daire,3 + 1,"
                          140 m2
                        ",2. Kat,35 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,75 TL,Hayır,Doğu,2.000 TL,Doğalgaz,Evet,Çankaya,Bahçelievler,750.000 TL
16814-5516,Bugün,Satılık,Daire,3 + 1,"
                          130 m2
                        ",Bahçe Katı,40 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,100 TL,Hayır,"Güney, Doğu, Batı",3.000 TL,Doğalgaz,Evet,Çankaya,Remzi Oğuz Arık,570.000 TL
113804-284,Bugün,Satılık,Daire,4 + 1,"
                          210 m2
                        ",1. Kat,Sıfır Bina,Merkezi (Pay Ölçer),12 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,"Kuzey, Güney, Batı",3.000 TL,Doğalgaz,Evet,Etimesgut,Bağlıca,1.200.000 TL
1170-5023,Bugün,Satılık,Daire,3 + 1,"
                          120 m2
                        ",6. Kat,35 Yaşında,Kombi,7 Katlı,Uygun,Eşyalı Değil,1,Betonarme,,Boş,Kat Mülkiyeti,100 TL,Hayır,Batı,,Doğalgaz,Evet,Çankaya,Anıttepe,450.000 TL
121128-101,Bugün,Satılık,Daire,2 + 1,"
                          105 m2
                        ",Kot 2,15 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,,,Hayır,Güney,750 TL,Doğalgaz,Evet,Mamak,General Zeki Doğan,129.900 TL
118717-168,Bugün,Satılık,Daire,3 + 1,"
                          155 m2
                        ",1. Kat,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,50 TL,Evet,Güney,2.000 TL,Doğalgaz,Evet,Keçiören,Karakaya,379.000 TL
25673-6405,Bugün,Satılık,Daire,2 + 1,"
                          95 m2
                        ",Giriş Katı,12 Yaşında,Kombi,8 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,"Güney, Doğu",,Doğalgaz,,Mamak,Ege,378.000 TL
59414-3068,Bugün,Satılık,Daire,3 + 1,"
                          110 m2
                        ",Bahçe Katı,2 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,40 TL,Evet,"Kuzey, Güney",1.300 TL,Doğalgaz,Evet,Yenimahalle,Çarşı,310.000 TL
125004-1,Bugün,Satılık,Daire,3 + 1,"
                          130 m2
                        ",2. Kat,7 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,30 TL,Evet,"Güney, Batı",850 TL,Doğalgaz,Evet,Altındağ,Karapürçek,240.000 TL
114804-1522,Bugün,Satılık,Daire,3 + 1,"
                          110 m2
                        ",Kot 1,12 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Belirtilmemiş,Kat Mülkiyeti,50 TL,Evet,"Güney, Batı",,Doğalgaz,Evet,Mamak,Aşık Veysel,160.000 TL
